x,y,z,cu,au,rocktype
341,477,105,0.419,0.895,4
141,415,105,1.547,3.94,20
235,207,105,1.138,1.49,20
13,569,105,0.641,0.059,29
19,313,105,0.421,0.0,28
49,573,105,0.825,0.022,20
31,45,105,0.752,0.384,34
41,125,105,0.494,0.0,31
191,465,105,1.467,11.148,20
87,549,105,0.559,0.013,20
291,469,105,0.55,0.04,4
257,177,105,0.809,0.19,20
217,91,105,1.535,6.85,4
127,509,105,1.281,11.034,20
161,471,105,2.42,18.326,20
91,163,105,1.215,0.332,20
129,137,105,2.266,25.21,20
111,193,105,1.591,2.157,20
317,497,105,0.393,0.895,4
231,493,105,0.637,0.031,4
59,343,105,1.716,15.567,31
195,343,105,0.999,0.867,20
309,171,105,0.859,4.947,20
263,419,105,1.483,0.38,20
313,477,105,0.491,0.895,4
169,265,105,1.377,1.101,20
323,267,105,0.87,9.357,20
255,279,105,0.891,0.312,20
269,167,105,0.946,2.337,20
205,405,105,1.462,5.914,20
385,541,105,0.409,0.035,4
167,545,105,0.858,3.912,20
15,449,105,0.563,0.0,29
45,157,105,0.362,0.0,31
309,413,105,0.589,0.04,4
211,79,105,1.475,4.484,20
11,75,105,0.402,0.0,28
95,115,105,1.545,15.046,34
277,87,105,1.105,6.584,20
159,351,105,1.207,4.3,20
397,43,105,0.475,0.033,4
211,493,105,0.826,0.031,4
287,433,105,0.96,0.134,4
223,555,105,0.482,0.252,20
273,295,105,0.947,0.503,20
127,393,105,1.421,16.957,20
333,533,105,0.436,0.074,4
173,323,105,1.307,5.043,20
237,169,105,0.75,0.19,20
219,585,105,0.593,0.252,20
367,21,105,0.342,0.013,4
317,195,105,0.812,4.947,20
261,583,105,0.599,0.009,20
165,219,105,1.183,1.237,20
265,185,105,0.836,1.49,20
97,73,105,1.732,34.774,20
189,549,105,0.652,2.323,20
241,81,105,1.56,4.484,20
215,199,105,1.246,0.669,20
391,537,105,0.414,0.035,4
297,299,105,1.134,9.357,20
159,369,105,1.255,0.361,20
303,349,105,0.806,0.222,20
103,419,105,0.955,0.436,20
317,17,105,0.455,0.013,4
77,317,105,1.512,2.351,34
245,19,105,2.359,5.924,4
347,495,105,0.383,0.074,4
353,203,105,1.097,32.95,20
289,507,105,0.338,0.0,4
293,147,105,0.884,6.751,20
97,349,105,1.899,11.426,20
387,561,105,0.423,0.035,4
127,29,105,1.031,2.912,20
69,33,105,0.622,0.226,20
71,13,105,0.647,0.341,20
73,409,105,1.137,0.049,31
143,359,105,1.271,1.11,20
65,69,105,1.036,0.405,20
223,477,105,0.821,2.55,4
43,371,105,0.677,0.019,28
15,43,105,0.707,0.171,28
303,41,105,0.828,4.361,20
299,81,105,1.079,6.584,20
135,473,105,1.614,1.057,20
273,55,105,1.245,5.924,4
103,143,105,1.79,24.019,20
395,145,105,0.766,2.128,4
161,63,105,2.374,31.306,31
49,515,105,0.696,0.04,20
59,419,105,1.052,0.049,31
315,439,105,0.491,0.149,4
343,389,105,0.633,0.112,4
257,309,105,1.03,3.148,20
305,195,105,0.879,4.947,20
87,397,105,1.032,0.418,20
85,71,105,1.342,0.405,20
109,89,105,1.95,34.774,20
367,11,105,0.402,0.013,4
325,577,105,0.421,0.085,4
251,581,105,0.626,0.009,20
39,75,105,0.449,0.029,34
393,279,105,0.852,9.869,4
269,393,105,0.942,0.131,31
361,173,105,0.792,2.128,4
385,451,105,0.399,0.047,4
55,335,105,1.329,2.351,34
43,257,105,0.411,0.0,28
5,161,105,0.362,0.039,28
285,451,105,0.826,0.081,4
7,539,105,0.548,0.069,29
51,437,105,1.11,3.442,31
329,243,105,0.997,17.117,20
385,561,105,0.405,0.035,4
193,153,105,1.298,2.689,20
257,319,105,1.138,3.148,20
349,571,105,0.385,0.255,4
67,161,105,0.788,0.335,31
351,149,105,0.823,3.421,20
299,555,105,0.443,0.0,4
213,41,105,3.609,46.721,20
255,179,105,0.772,0.19,20
45,355,105,0.854,0.019,28
345,121,105,1.062,2.022,4
149,381,105,1.397,0.361,20
5,479,105,0.522,0.0,29
77,301,105,1.547,3.94,31
333,389,105,0.676,0.04,4
111,477,105,1.992,1.857,20
345,139,105,0.971,2.022,4
345,359,105,0.595,5.352,4
267,67,105,1.408,5.924,4
155,309,105,1.371,11.018,20
319,501,105,0.399,0.023,4
249,551,105,0.496,0.003,4
53,299,105,0.854,0.203,28
37,167,105,0.307,0.0,31
123,391,105,1.343,16.957,20
223,549,105,0.477,0.92,4
239,305,105,1.073,0.312,20
231,583,105,0.587,0.009,20
17,119,105,0.351,0.0,28
111,67,105,2.586,34.774,20
397,177,105,0.633,2.128,4
257,237,105,0.941,1.468,20
369,251,105,1.48,32.95,20
87,187,105,1.305,0.355,20
257,415,105,1.791,0.38,20
197,55,105,2.374,11.201,20
131,241,105,1.65,5.098,20
133,177,105,1.989,28.606,20
287,183,105,0.829,4.947,20
235,63,105,2.14,37.878,20
277,355,105,1.076,5.391,20
241,169,105,0.813,0.19,20
179,93,105,1.475,6.979,20
79,1,105,0.798,2.828,20
343,169,105,0.757,3.421,20
323,329,105,0.803,0.222,20
231,521,105,0.663,0.42,4
257,25,105,1.862,5.924,4
275,541,105,0.39,2.205,4
75,79,105,1.475,0.405,20
175,499,105,1.194,15.506,20
193,479,105,1.235,2.095,20
243,549,105,0.519,0.003,4
31,83,105,0.346,0.027,28
399,301,105,0.748,9.869,4
59,243,105,0.402,0.0,28
369,103,105,0.766,0.07,4
27,345,105,0.609,0.163,28
139,363,105,1.296,1.11,20
59,129,105,0.781,1.401,31
211,311,105,1.155,1.124,20
359,591,105,0.435,0.035,4
219,293,105,1.356,24.115,20
341,415,105,0.618,0.04,4
25,247,105,0.264,0.0,28
161,21,105,0.648,7.904,4
235,175,105,0.79,0.19,20
285,479,105,0.449,0.04,4
255,207,105,0.964,1.49,20
367,49,105,0.337,0.033,4
345,305,105,0.624,9.869,4
285,219,105,0.807,4.935,20
63,443,105,1.577,3.442,31
373,313,105,0.626,9.869,4
241,481,105,0.536,0.0,4
123,489,105,1.96,2.008,20
265,113,105,1.106,5.819,20
397,73,105,0.502,0.033,4
205,491,105,0.853,0.031,4
303,381,105,0.621,0.222,20
329,9,105,0.334,0.013,4
367,535,105,0.372,0.255,4
45,309,105,0.691,0.203,28
329,325,105,0.716,9.357,20
135,363,105,1.268,1.11,20
151,455,105,2.131,18.412,20
301,511,105,0.337,0.0,4
191,229,105,0.964,0.449,20
123,51,105,1.703,23.865,20
169,439,105,2.215,9.445,20
103,199,105,1.663,2.157,20
27,503,105,0.669,0.254,31
55,223,105,0.469,0.0,28
245,495,105,0.69,0.048,4
309,105,105,0.916,1.597,4
289,77,105,0.995,6.584,20
19,527,105,0.602,0.069,29
71,27,105,0.627,0.341,20
117,411,105,1.085,3.94,20
141,439,105,1.568,4.546,20
275,261,105,0.768,0.182,20
219,227,105,1.091,1.279,20
337,585,105,0.404,0.255,4
107,239,105,1.412,2.471,20
231,263,105,1.046,2.015,20
349,93,105,0.87,1.597,4
181,195,105,1.657,5.178,20
349,187,105,0.9,2.128,4
145,535,105,0.806,3.485,20
333,147,105,0.922,3.421,20
343,185,105,0.829,3.421,20
81,245,105,0.762,0.271,31
243,423,105,1.783,0.856,20
371,85,105,0.633,0.033,4
163,521,105,0.799,0.738,20
341,49,105,0.431,0.013,4
397,275,105,0.804,9.869,4
33,19,105,0.796,0.255,31
37,451,105,0.761,0.011,29
81,419,105,1.029,0.049,31
41,129,105,0.458,0.0,31
71,407,105,1.062,0.049,31
213,333,105,1.069,3.567,20
79,509,105,0.836,0.622,20
363,333,105,0.553,5.352,4
183,539,105,0.7,8.072,20
141,251,105,1.802,5.762,20
3,215,105,0.301,0.0,28
43,293,105,0.512,0.203,28
191,153,105,1.247,2.689,20
249,555,105,0.559,0.402,4
183,279,105,1.349,1.843,20
357,151,105,0.809,3.421,20
335,257,105,0.987,17.117,20
357,419,105,0.606,0.04,4
81,241,105,0.737,0.271,31
131,109,105,2.591,23.266,20
323,511,105,0.387,0.155,4
211,349,105,0.9,2.129,20
241,223,105,1.076,1.468,20
91,133,105,1.361,24.019,20
169,131,105,1.129,4.63,20
1,313,105,0.426,0.0,28
189,259,105,1.21,1.131,20
175,443,105,2.44,15.154,20
17,43,105,0.795,0.171,28
41,507,105,0.768,0.254,31
33,407,105,0.597,0.049,29
327,81,105,1.077,5.89,4
159,513,105,0.947,15.506,20
275,119,105,0.949,5.819,20
161,363,105,1.252,0.361,20
77,325,105,1.595,2.351,34
193,97,105,1.298,3.96,4
275,3,105,1.564,5.924,4
165,461,105,2.492,18.412,20
163,457,105,2.801,18.412,20
301,251,105,0.756,2.687,20
387,33,105,0.405,0.033,4
371,349,105,0.548,0.246,4
3,105,105,0.329,0.0,28
235,435,105,1.673,1.018,20
221,319,105,1.162,1.124,20
229,151,105,1.024,1.428,20
339,547,105,0.389,0.056,4
161,453,105,2.497,18.412,20
349,529,105,0.399,0.056,4
217,41,105,3.904,46.721,20
321,109,105,1.075,1.597,4
33,441,105,0.776,0.097,29
11,417,105,0.55,0.052,28
397,463,105,0.365,0.047,4
343,299,105,0.677,9.869,4
17,255,105,0.281,0.0,28
197,365,105,0.898,0.867,20
199,511,105,0.821,13.86,20
107,401,105,1.043,0.875,20
127,313,105,1.183,0.37,20
83,179,105,1.105,0.335,31
65,421,105,1.145,0.049,31
369,227,105,1.343,32.95,20
189,339,105,1.015,1.89,20
19,531,105,0.58,0.069,29
255,503,105,0.675,0.048,4
121,537,105,0.559,7.896,20
121,561,105,0.688,14.598,20
165,487,105,1.847,11.826,20
163,1,105,0.611,0.125,4
369,1,105,0.495,0.013,4
43,53,105,0.907,0.452,34
329,155,105,0.872,3.421,20
321,13,105,0.384,0.013,4
231,253,105,1.1,2.015,20
319,203,105,0.856,4.947,20
231,323,105,1.15,3.567,20
169,553,105,0.772,3.912,20
35,179,105,0.291,0.015,31
361,201,105,0.98,2.128,4
203,513,105,0.833,13.86,20
245,203,105,1.011,1.49,20
87,83,105,1.409,34.774,20
217,303,105,1.227,1.124,20
259,511,105,0.449,0.0,4
275,229,105,0.759,18.273,20
241,415,105,1.82,0.856,20
149,375,105,1.301,0.361,20
159,269,105,1.348,1.101,20
131,283,105,1.856,1.282,20
155,567,105,0.571,3.912,20
365,49,105,0.343,0.033,4
199,167,105,1.374,4.299,20
151,267,105,1.364,1.101,20
127,351,105,1.248,1.11,20
343,523,105,0.4,0.056,4
385,279,105,0.906,9.869,4
203,261,105,1.279,1.131,20
251,445,105,1.005,0.126,4
241,279,105,0.925,0.312,20
329,513,105,0.392,0.074,4
71,279,105,0.953,3.94,31
241,297,105,0.978,0.312,20
167,291,105,1.427,1.101,20
183,137,105,1.224,2.689,20
209,51,105,4.159,37.878,20
41,41,105,1.14,0.384,34
7,531,105,0.549,0.069,29
223,139,105,1.033,10.576,20
5,515,105,0.56,0.069,29
123,425,105,1.145,3.94,20
141,521,105,0.9,3.485,20
317,559,105,0.404,0.155,4
267,83,105,1.273,5.828,20
197,235,105,1.057,0.45,20
189,585,105,0.592,0.526,4
127,385,105,1.382,16.957,20
357,597,105,0.466,0.035,4
331,287,105,0.718,9.357,20
81,9,105,0.773,0.341,20
309,371,105,0.633,0.222,20
369,137,105,0.821,0.07,4
119,315,105,1.193,0.37,20
85,433,105,1.216,0.436,20
59,363,105,1.487,0.326,31
185,351,105,0.959,1.89,20
103,259,105,1.571,9.484,20
325,145,105,0.871,2.022,4
367,255,105,1.38,32.95,20
13,7,105,0.498,0.255,31
219,363,105,0.867,0.126,20
263,571,105,0.618,0.402,4
185,57,105,1.959,11.201,20
245,21,105,2.322,5.924,4
101,529,105,0.574,0.859,20
253,147,105,1.039,2.337,20
263,5,105,1.304,5.924,4
391,485,105,0.343,0.047,4
357,83,105,0.726,1.597,4
133,525,105,0.667,1.319,20
175,57,105,1.863,11.201,20
45,211,105,0.402,0.0,28
367,353,105,0.547,5.352,4
185,349,105,0.902,0.551,20
21,399,105,0.532,0.0,28
75,387,105,1.225,0.196,31
77,259,105,0.57,0.018,34
265,83,105,1.297,5.828,20
61,449,105,1.466,3.442,31
31,145,105,0.361,0.0,31
359,387,105,0.656,5.352,4
229,511,105,0.759,0.42,4
59,51,105,0.786,2.084,28
305,579,105,0.459,0.0,4
151,19,105,0.577,0.125,4
3,499,105,0.541,0.0,29
39,499,105,0.706,0.254,31
345,29,105,0.249,0.013,4
281,325,105,1.018,5.226,20
45,563,105,0.758,0.022,20
325,191,105,0.86,4.947,20
143,481,105,1.936,2.008,20
95,359,105,1.77,11.426,20
133,471,105,1.601,1.057,20
71,477,105,1.252,0.11,20
309,29,105,0.599,0.013,4
159,169,105,1.37,3.976,20
295,389,105,0.644,0.0,31
367,291,105,0.68,9.869,4
