x,y,z
0.0,0.0,0.0
0.0,0.0,5.0
0.0,0.0,10.0
0.0,0.0,15.0
0.0,0.0,20.0
0.0,0.0,25.0
0.0,0.0,30.0
0.0,0.0,35.0
0.0,0.0,40.0
0.0,0.0,45.0
0.0,0.0,50.0
0.0,0.0,55.0
0.0,0.0,60.0
0.0,0.0,65.0
0.0,0.0,70.0
0.0,0.0,75.0
0.0,0.0,80.0
0.0,0.0,85.0
0.0,0.0,90.0
0.0,0.0,95.0
0.0,0.0,100.0
0.0,0.0,105.0
0.0,0.0,110.0
0.0,0.0,115.0
0.0,0.0,120.0
0.0,0.0,125.0
0.0,0.0,130.0
0.0,0.0,135.0
0.0,0.0,140.0
0.0,10.0,0.0
0.0,10.0,5.0
0.0,10.0,10.0
0.0,10.0,15.0
0.0,10.0,20.0
0.0,10.0,25.0
0.0,10.0,30.0
0.0,10.0,35.0
0.0,10.0,40.0
0.0,10.0,45.0
0.0,10.0,50.0
0.0,10.0,55.0
0.0,10.0,60.0
0.0,10.0,65.0
0.0,10.0,70.0
0.0,10.0,75.0
0.0,10.0,80.0
0.0,10.0,85.0
0.0,10.0,90.0
0.0,10.0,95.0
0.0,10.0,100.0
0.0,10.0,105.0
0.0,10.0,110.0
0.0,10.0,115.0
0.0,10.0,120.0
0.0,10.0,125.0
0.0,10.0,130.0
0.0,10.0,135.0
0.0,10.0,140.0
0.0,20.0,0.0
0.0,20.0,5.0
0.0,20.0,10.0
0.0,20.0,15.0
0.0,20.0,20.0
0.0,20.0,25.0
0.0,20.0,30.0
0.0,20.0,35.0
0.0,20.0,40.0
0.0,20.0,45.0
0.0,20.0,50.0
0.0,20.0,55.0
0.0,20.0,60.0
0.0,20.0,65.0
0.0,20.0,70.0
0.0,20.0,75.0
0.0,20.0,80.0
0.0,20.0,85.0
0.0,20.0,90.0
0.0,20.0,95.0
0.0,20.0,100.0
0.0,20.0,105.0
0.0,20.0,110.0
0.0,20.0,115.0
0.0,20.0,120.0
0.0,20.0,125.0
0.0,20.0,130.0
0.0,20.0,135.0
0.0,20.0,140.0
0.0,30.0,0.0
0.0,30.0,5.0
0.0,30.0,10.0
0.0,30.0,15.0
0.0,30.0,20.0
0.0,30.0,25.0
0.0,30.0,30.0
0.0,30.0,35.0
0.0,30.0,40.0
0.0,30.0,45.0
0.0,30.0,50.0
0.0,30.0,55.0
0.0,30.0,60.0
0.0,30.0,65.0
0.0,30.0,70.0
0.0,30.0,75.0
0.0,30.0,80.0
0.0,30.0,85.0
0.0,30.0,90.0
0.0,30.0,95.0
0.0,30.0,100.0
0.0,30.0,105.0
0.0,30.0,110.0
0.0,30.0,115.0
0.0,30.0,120.0
0.0,30.0,125.0
0.0,30.0,130.0
0.0,30.0,135.0
0.0,30.0,140.0
0.0,40.0,0.0
0.0,40.0,5.0
0.0,40.0,10.0
0.0,40.0,15.0
0.0,40.0,20.0
0.0,40.0,25.0
0.0,40.0,30.0
0.0,40.0,35.0
0.0,40.0,40.0
0.0,40.0,45.0
0.0,40.0,50.0
0.0,40.0,55.0
0.0,40.0,60.0
0.0,40.0,65.0
0.0,40.0,70.0
0.0,40.0,75.0
0.0,40.0,80.0
0.0,40.0,85.0
0.0,40.0,90.0
0.0,40.0,95.0
0.0,40.0,100.0
0.0,40.0,105.0
0.0,40.0,110.0
0.0,40.0,115.0
0.0,40.0,120.0
0.0,40.0,125.0
0.0,40.0,130.0
0.0,40.0,135.0
0.0,40.0,140.0
0.0,50.0,0.0
0.0,50.0,5.0
0.0,50.0,10.0
0.0,50.0,15.0
0.0,50.0,20.0
0.0,50.0,25.0
0.0,50.0,30.0
0.0,50.0,35.0
0.0,50.0,40.0
0.0,50.0,45.0
0.0,50.0,50.0
0.0,50.0,55.0
0.0,50.0,60.0
0.0,50.0,65.0
0.0,50.0,70.0
0.0,50.0,75.0
0.0,50.0,80.0
0.0,50.0,85.0
0.0,50.0,90.0
0.0,50.0,95.0
0.0,50.0,100.0
0.0,50.0,105.0
0.0,50.0,110.0
0.0,50.0,115.0
0.0,50.0,120.0
0.0,50.0,125.0
0.0,50.0,130.0
0.0,50.0,135.0
0.0,50.0,140.0
0.0,60.0,0.0
0.0,60.0,5.0
0.0,60.0,10.0
0.0,60.0,15.0
0.0,60.0,20.0
0.0,60.0,25.0
0.0,60.0,30.0
0.0,60.0,35.0
0.0,60.0,40.0
0.0,60.0,45.0
0.0,60.0,50.0
0.0,60.0,55.0
0.0,60.0,60.0
0.0,60.0,65.0
0.0,60.0,70.0
0.0,60.0,75.0
0.0,60.0,80.0
0.0,60.0,85.0
0.0,60.0,90.0
0.0,60.0,95.0
0.0,60.0,100.0
0.0,60.0,105.0
0.0,60.0,110.0
0.0,60.0,115.0
0.0,60.0,120.0
0.0,60.0,125.0
0.0,60.0,130.0
0.0,60.0,135.0
0.0,60.0,140.0
0.0,70.0,0.0
0.0,70.0,5.0
0.0,70.0,10.0
0.0,70.0,15.0
0.0,70.0,20.0
0.0,70.0,25.0
0.0,70.0,30.0
0.0,70.0,35.0
0.0,70.0,40.0
0.0,70.0,45.0
0.0,70.0,50.0
0.0,70.0,55.0
0.0,70.0,60.0
0.0,70.0,65.0
0.0,70.0,70.0
0.0,70.0,75.0
0.0,70.0,80.0
0.0,70.0,85.0
0.0,70.0,90.0
0.0,70.0,95.0
